audit_id,domain,capability,industry_standard_baseline,current_implementation,evidence_level,evidence_paths,status,priority,risk_if_omitted,effort,implementation_mode,recommended_decision,business_input_required,production_access_required,reusable_for_future_projects,notes
BIZ-001,Business model,Public marketing site plus protected B2B ordering portal,"Two-audience split: public Astro site for discovery, authenticated portal for pricing/ordering","Implemented as designed; public site has no cart, no prices, no availability",E1,"platform/server/web/src/pages/,platform/server/storefront/js/,docs/.../04_TARGET_ARCHITECTURE.md#8",COMPLETE,P2,low,—,no action,Keep the split exactly as built; it is the correct B2B pattern,no,no,reusable now,"Public/portal boundary is enforced by separate apps, separate routers and a forbidden-key scanner"
BIZ-002,Business model,Account application and approval,"Public application form, staff review, approval creates an account with terms",Public form stores to form_submissions; no approval-to-account path exists,E1,"platform/server/api/src/public-forms.js,platform/server/api/src/routes/admin-enquiries.js",PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,moderate,M,repository implementation,"Add a governed 'convert enquiry to account' action gated on a new capability, writing users + payment_terms + currency and sending the existing welcomeActivation email",no,no,reusable after extraction,Today an approved applicant must be keyed in by hand on the Users screen; nothing links the enquiry to the account
BIZ-003,Business model,Customer-specific commercial terms,"Per-customer payment terms, currency, price mode","users.payment_terms, users.currency, users.pricing (sku/brand/cart/tier modes)",E1,"platform/server/db/migrations/0001_schema.sql:43,platform/server/api/src/migrate.js:81,js/data.js priceForCustomer",COMPLETE,P3,low,—,no action,No change,no,no,reusable now,Four pricing modes implemented and exercised by the storefront
BIZ-004,Business model,Sales-representative involvement,"Agents place orders for customers, see own book","agent role, ordering-for-customer context, agent revenue screen",E1,"platform/server/api/src/routes/agent.js,platform/server/storefront/js/pages_agent.js,js/pages_ops.js",COMPLETE — RC VERIFICATION REQUIRED,P2,moderate,S,supervised real-data operation,Verify agent scoping with two real agent accounts before handoff,no,yes,reusable after extraction,Task endpoints have no ownership scoping (see CUS-005)
PAY-001,Payments,Settlement model,"B2B wholesale settles on invoice and net terms, not card at checkout",Net-terms invoicing: checkout places an order and states 'Payment on your usual terms (net N)',E1,"platform/server/storefront/js/pages_cart.js:201,platform/server/api/src/routes/orders.js:85",COMPLETE,P2,low,—,no action,Keep net-terms settlement. This is the conventional model for B2B eyewear distribution and it is correctly implemented,no,no,reusable now,No payment is taken at checkout by design; this is not a gap
PAY-002,Payments,Stripe payment integration,"A single chosen provider integrated server-side, with webhooks and no card data touching the application","Absent. No SDK, no key, no route, no webhook, no client code",E1,"grep across repo: provider names appear only in 0001_schema.sql, shape.js and platform/docs/*",MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,L,repository implementation,"APPROVED 2026-08-06: Stripe is the payment provider. Build the integration against test keys only — Stripe Elements or Checkout so no card data reaches Veyora servers, server-side intent creation, and signed webhook handling. Live activation is a post-handover client-owned action (PAY-009 to PAY-011). Apple Pay and Google Pay are NOT separate requirements: they are surfaced by Stripe's own payment sheet where the device supports them and need no additional integration work",no,no,reusable after extraction,"Supersedes the pre-decision assessment that card checkout was optional. Existing B2B net-terms settlement (PAY-001) remains fully supported and is unchanged — Stripe is added alongside it, not instead of it"
PAY-003,Payments,Stripe schema columns,Schema supports the chosen provider,payments.stripe_payment_intent column and 'stripe' in the method CHECK already exist and are unused,E1,"platform/server/db/migrations/0001_schema.sql:254-257,platform/server/api/src/shape.js:72",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,low,XS,repository implementation,"Now forward-looking rather than vestigial: the approved Stripe decision gives these columns a purpose. Keep them, and extend with the fields a real integration needs (charge/session id, status, amount received, currency, failure reason). Document them in the schema reference so their meaning is explicit",no,no,reusable after extraction,Reclassified 2026-08-06. Previously recorded as a misconception risk per platform/docs/SOW-GAP-ANALYSIS.md §6.6; the approved decision resolves that risk by making the integration real
PAY-009,Payments,Stripe account provisioning,A merchant account exists and is owned by the business,Not provisioned. No account reference anywhere in the repository,E4,repository-wide search for stripe account/publishable key/secret key,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P1,high,XS,business decision,APPROVED 2026-08-06: the client provides access to an existing Stripe account or creates a new one. Engineering builds against test keys and never holds live credentials. Client-owned,yes,yes,not applicable,Blocks PAY-010 and PAY-011 but not PAY-002 — the integration is buildable and testable against Stripe test mode without it
PAY-010,Payments,Stripe webhook registration and verification,Webhook endpoint registered with the provider and every payload signature-verified,Absent. No inbound webhook endpoint exists anywhere,E4,repository-wide search for webhook; routes/ has no such endpoint,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Two halves. Repository: a signature-verified, idempotent webhook endpoint keyed on the Stripe event id so a replayed or duplicated event cannot double-apply a settlement. Client-owned and supervised: registering the endpoint URL and installing the signing secret in production after handover",no,yes,reusable after extraction,"Idempotency is not optional here — Stripe retries deliveries by design. See INT-008, which this reclassifies"
PAY-011,Payments,Payout configuration and final live verification,Payouts routed to the correct bank account and verified with a real transaction,Not configured. Out of scope for a development machine,E4,no payout or bank configuration in the repository,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P1,high,S,business decision,"APPROVED 2026-08-06: payout configuration, production key installation and final end-to-end verification remain client-owned supervised actions performed after handover. Engineering must not hold or install live keys",yes,yes,not applicable,The last step before taking real money; a supervised human action by definition
PAY-012,Payments,Invoice payment through Stripe,A customer can settle an outstanding invoice online,Absent. Invoices are read-only to the customer,E1,platform/server/api/src/routes/orders.js:693-706 (read only); no payment route,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"APPROVED 2026-08-06: a customer-facing pay-this-invoice flow creating a Stripe payment intent scoped to the invoice, with the invoice status updated only from the verified webhook and never from the browser. Net-terms customers keep the existing settlement path — paying online is an option, not a replacement",no,no,reusable after extraction,"Depends on PAY-002 and PAY-010. The webhook, not the client, is the source of truth for payment status"
PAY-013,Payments,Auditable settlement updates,Every settlement change is attributable and cannot be silently rewritten,Payments are written through the generic admin row-sync with no audit of the prior value,E1,"platform/server/api/src/shape.js:67-87,routes/admin.js:733",MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"APPROVED 2026-08-06: settlement updates must be auditable. Record every payment state change as an append-only event with actor, source (manual or stripe-webhook), amount, currency and provider reference, and write an audit_log entry. Remove payments and credit_notes from the syncable collection set",no,no,reusable after extraction,Extends PAY-006. Doubly required once a webhook can change payment state without a human actor
PAY-004,Payments,Invoice generation,"Invoice created from an order with number, amount, currency, terms",Admin creates invoices from orders; customer reads own invoices,E1,"platform/server/api/src/routes/admin.js:534,platform/server/api/src/routes/orders.js:693",COMPLETE — RC VERIFICATION REQUIRED,P2,moderate,S,supervised real-data operation,Verify numbering and currency stamping against a real order,no,yes,reusable after extraction,invoice_number_seq starts at 70001
PAY-005,Payments,Invoice PDF / document delivery,Customer can download a formal invoice document,"Browser print view only; no server-side PDF, no attachment",E1,js/pages_finance.js:334-364,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"APPROVED 2026-08-06: PDF invoices are a required deliverable, no longer conditional. Server-side generation from the invoice record, downloadable by the customer and attachable to email. Must render the same figures the portal shows, including currency and the stamped FX rate",no,no,reusable after extraction,Reclassified 2026-08-06 from PARTIAL/P2. The earlier 'deferred is acceptable if the accounting system issues invoices' condition is superseded by the approved decision
