requirement_id,source_section,source_locator,source_summary,requirement_type,priority,current_status,proposed_implementation,target_component_or_service,data_or_content_dependency,placeholder_policy,production_blocker,acceptance_or_test_method,delivery_batch,notes
REQ-DOC-001,1 Document control,Section 1; table 'Document control'; row 'Visual source of truth',The current rendered design at veyora.design is the visual source of truth; preserve its styling and interaction language,SOURCE_REQUIREMENT,P0,PARTIAL,Port the editorial token layer and component language from the live storefront source,Design token layer,None,NONE,NO,Visual review sign-off against the captured design freeze,B1,Reinforced by programme ruling 1. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-DOC-002,1 Document control,Section 1; table 'Document control'; row 'Structural source of truth',The eight-page wireframe plus this document's enhancements and acceptance criteria define structure,SOURCE_REQUIREMENT,P0,MISSING,Module order taken from the written 'Required module order' lists only,All templates,None,NONE,NO,Template review against the written module lists,B3,Programme ruling 2 - wireframes are not approved visual designs
REQ-DOC-003,1 Document control,Section 1; table 'Document control'; row 'Geographic scope',Geographic scope is Canada; United States and Europe subject to final confirmation of service coverage and claims,SOURCE_REQUIREMENT,P1,MISSING,Market coverage rendered from location and coverage records,Global Presence template,Approved coverage,NEUTRAL_WORDING,NO,Content review,B3,Ruling 5 permits neutral presence wording
REQ-DOC-004,1 Document control,Section 1; table 'Document control'; row 'SEO/GEO standard',Pages must be crawlable; indexable; entity-clear; source-backed and performant,SOURCE_REQUIREMENT,P0,MISSING,Delivered through the technical SEO and GEO requirement set,Public web app,None,NONE,NO,Aggregate of the SEO and GEO acceptance suites,B7,Umbrella statement - individual requirements carry the gates
REQ-DOC-005,1 Document control,Section 1; table 'Document control'; row 'Production domain',Recommended production domain is veyora.com; treat veyora.design as staging unless Veyora chooses otherwise,SOURCE_REQUIREMENT,P0,MISSING,PUBLIC_SITE_ORIGIN configuration with no hard-coded host anywhere,Config + Caddy,DECISION-01,CONFIGURABLE,YES,Redirect matrix shows exactly one indexable host,B10,Blocking at cutover only - development proceeds on configuration
REQ-EXEC-001,2 Executive direction,Section 2; callout table 'DO NOT REDESIGN THE SITE FROM THE WIREFRAME',Reuse the live site typography; colour system; spacing; art direction; cards; buttons; transitions; navigation behaviour and responsive rules,SOURCE_REQUIREMENT,P0,PARTIAL,Token layer ported verbatim; portal component reuse forbidden,Design token layer,None,NONE,NO,Visual regression against approved baselines,B1,
REQ-EXEC-002,2 Executive direction,Section 2; callout table 'DO NOT REDESIGN THE SITE FROM THE WIREFRAME',Extend the existing component system where a wireframe module does not yet exist,SOURCE_REQUIREMENT,P0,MISSING,New modules authored from the five editorial type roles and four neutrals; derivation recorded in source,Component library,None,NONE,NO,Design review against the documented extension rules,B1,
REQ-EXEC-003,2.1 Source-of-truth hierarchy,Section 2.1; list item 1,Current live design governs visual appearance; component styling; typography; motion and responsive behaviour,SOURCE_REQUIREMENT,P0,PARTIAL,Documented and enforced at review,Process,None,NONE,NO,Review checklist item on every pull request,B0,
REQ-EXEC-004,2.1 Source-of-truth hierarchy,Section 2.1; list item 2,This specification governs routes; page scope; module order; content requirements; SEO/GEO; analytics and acceptance criteria,SOURCE_REQUIREMENT,P0,MISSING,This traceability register is the control document,Process,None,NONE,NO,Register approved and referenced by every work package,B0,
REQ-EXEC-005,2.1 Source-of-truth hierarchy,Section 2.1; list item 3,The wireframe PDF governs information hierarchy and required page templates,SOURCE_REQUIREMENT,P1,MISSING,Written module-order lists used; figures not interpreted as designs,All templates,None,NONE,NO,Template review,B3,Figures deliberately not opened per programme ruling 2
