control_id,origin,related_requirement_ids,control_summary,rationale,implementation,validation_method,blocks_merge,blocks_production,delivery_batch,status,notes
CTL-001,SECURITY_DERIVED,REQ-OUT-007 REQ-CM-016 REQ-BRD-022 REQ-COL-027 REQ-MOD-009 REQ-SEO-024 REQ-QA-023,Public allowlist serializer that constructs a fresh object per response and never spreads a database row,The specification prohibits exposing price and stock but names no mechanism; today the guest suppressions are scattered conditionals so a new field added upstream leaks silently,public-serialize.js consumed by every /public/* endpoint with no import path to pricing ordering or inventory modules,Unit tests asserting the serializer output shape for every entity type,YES,YES,B2,PLANNED,Derived mechanism - the specification states the prohibition not the design
CTL-002,SECURITY_DERIVED,REQ-OUT-007 REQ-BRD-022 REQ-COL-027 REQ-MOD-009 REQ-QA-023,Forbidden-key scan across /public/* responses rendered HTML inline JSON and JSON-LD,A prohibition without an automated detector is a review promise not a control,Named key denylist covering price cost stock qty warehouse customer order invoice zoho_item_id and internal label tags,CI job failing on any occurrence in any output surface,YES,YES,B2,PLANNED,Replaces the ad hoc per-endpoint assertions implied by the old register
CTL-003,SECURITY_DERIVED,REQ-OUT-007,Do not expose an availability boolean publicly,Across roughly 4000 SKUs a per-variant in-stock flag is scrapeable competitive intelligence even though it is not a quantity,Availability omitted from the public serializer entirely; model pages state that live inventory requires an account,Forbidden-key scan includes the availability field,YES,YES,B2,PLANNED,Stricter than the current guest catalogue which collapses quantity to 0 or 1
CTL-004,SECURITY_DERIVED,REQ-CSF-021 REQ-IA-012,Legacy hash bridge restricted to an explicit portal route allowlist,Portal deep links use fragments which are never sent to the server so only a client-side bridge can preserve them; an unrestricted bridge would be an open redirect,Inline script on the 404 page matching a fixed list of portal route prefixes and rewriting only the host,Security test asserting that an arbitrary or absolute-URL fragment does not redirect,YES,YES,B10,PLANNED,No source requirement covers portal link continuity
CTL-005,OPERATIONS_DERIVED,REQ-CSF-021,Portal continuity verification for live sessions password-reset links and circulated shared-list links,Moving the portal off the catch-all breaks setPasswordLink and listUrl outputs already in customer inboxes,PORTAL_URL configuration applied to both link builders in the same change as the Caddy restructure,Rehearsal on the RC host with real token and slug values before cutover,NO,YES,B10,PLANNED,Highest-scoring risk in the register
CTL-006,SECURITY_DERIVED,REQ-SEO-004 REQ-QA-025,RC host protected by basic authentication and a host-wide X-Robots-Tag noindex header,The specification requires authentication or noindex plus access controls but names no mechanism,Caddy basic_auth plus header on the RC host only,Automated check that the RC host returns 401 or noindex,NO,YES,B10,PLANNED,
CTL-007,SECURITY_DERIVED,REQ-IA-012,Host-wide X-Robots-Tag noindex nofollow on the portal host,Makes the private surface non-indexable structurally rather than per-route,Caddy header on the portal host,Header assertion test,NO,YES,B10,PLANNED,
CTL-008,AUDIT_DERIVED,REQ-DOD-011 REQ-IMP-006 REQ-MOD-018,Placeholder token registry and build gate validated against rendered output,The specification requires placeholders removed before launch but defines no format owner or enforcement,VEY_PLACEHOLDER::<KEY> tokens plus placeholders.json with owner status and blocking flag plus check-placeholders.mjs,Production build exits non-zero while any blocking placeholder is unresolved in rendered output,YES,YES,B8,PLANNED,Scans rendered output so database-sourced placeholders are caught too
CTL-009,PROGRAMME_RULING,REQ-CSF-018 REQ-CSF-020 REQ-GC-009 REQ-PL-008,Omission-first content policy for optional claims,Programme ruling 13 - optional social links retailer counts MOQ lead-time and unsupported origin claims are omitted rather than shown as visible placeholders,Components render with fewer items rather than emitting placeholder text where a reader would expect a claim,Review that no module depends structurally on a pending fact,YES,NO,B3,PLANNED,Changes the placeholder policy applied across the register
CTL-010,PROGRAMME_RULING,REQ-CSF-007 REQ-BRX-010 REQ-BRX-017,Brand count derived from published brand records and never hard-coded,Programme ruling 7,Single query feeding homepage company page brands page and Organization schema,Consistency test comparing every surface against the query result,YES,NO,B4,PLANNED,Current code hard-codes an eight-name PUBLIC_BRANDS array in two files
CTL-011,PROGRAMME_RULING,REQ-CSF-016 REQ-BRX-007 REQ-IA-015,Essedue and Kyme separation held as data configuration,Programme ruling 8,Publication flags per brand record supporting either shape without a code change,Route generation test under both configurations,YES,NO,B2,PLANNED,
CTL-012,PROGRAMME_RULING,REQ-CSF-017 REQ-BRX-011 REQ-IA-016,Extreme Next unpublished by default,Programme ruling 9,Publication flag defaulting to false,Test asserting the record is absent from published output unless explicitly flagged,YES,NO,B2,PLANNED,
CTL-013,PROGRAMME_RULING,REQ-FRM-008 REQ-FRM-009 REQ-FRM-017 REQ-ANL-014,Durable submission store with a pluggable CRM adapter defaulting to none,Programme ruling 10 - CRM selection must not block implementation or production provided every submission is durably stored and operations is notified,form_submissions table written before any delivery attempt; adapter values none webhook or a named provider,Fault-injection test proving persistence and operations alerting with the adapter disabled,YES,YES,B6,PLANNED,Makes the CRM decision configurable rather than blocking
CTL-014,PROGRAMME_RULING,REQ-ANL-013 REQ-ANL-001,Analytics disabled by default behind a consent gate,Programme ruling 11,ANALYTICS_PROVIDER unset means no third-party script is emitted,Test asserting no analytics request without consent and no request at all when unset,YES,NO,B6,PLANNED,
CTL-015,PROGRAMME_RULING,REQ-ANL-013,Meta Pixel removed from the new public site by default,Programme ruling 12 - the existing pixel fires unconditionally with no consent gate which is defensible on an authenticated portal and not on a public marketing site,No pixel in the public application; retention becomes an explicit opt-in decision,Scan of rendered output for the pixel identifier,YES,NO,B6,PLANNED,The pixel remains on the portal which is out of scope for this project
CTL-016,PROGRAMME_RULING,REQ-WHY-003 REQ-GP-001 REQ-GP-002 REQ-GP-003,Neutral presence wording for Italy Germany New York and Montreal,Programme rulings 5 and 6 - presence may be stated neutrally and a location function blocks only where a page explicitly claims one,Location records carry an optional function; templates render presence without a function until an approved value exists,Test asserting no function label renders from an unapproved value,YES,NO,B3,PLANNED,Also resolves the source conflict between sections 9.1 and 16.1
CTL-017,AUDIT_DERIVED,REQ-CM-024 REQ-CM-025 REQ-CM-026,Publication state machine with a foreign-key approver rather than a free-text verified note,The specification requires the workflow and prohibits free-text verification but does not specify the data model,publication_state enum plus content_approvals rows plus a high-risk field list,State-transition tests including an attempt to publish without approval,YES,YES,B2,PLANNED,
CTL-018,AUDIT_DERIVED,REQ-CM-027,Database trigger writing a 301 redirect row on any published slug change,The specification requires the redirect to be created or required but names no mechanism,Trigger on brands.slug and products.public_slug inserting into redirects,Test that a slug change on a published record creates a 301,YES,YES,B2,PLANNED,
CTL-019,AUDIT_DERIVED,REQ-CM-028 REQ-SEO-012,content_updated_at column distinct from the trigger-maintained updated_at,The Zoho sync runs every thirty minutes and would otherwise churn sitemap lastmod on every product page,Separate column written only on visible content change,Rebuild without a content change produces a byte-identical sitemap,YES,NO,B7,PLANNED,
CTL-020,AUDIT_DERIVED,REQ-CM-015,is_published kept independent of the existing is_active ordering flag,is_active governs orderability in the portal; conflating it with public visibility would let a Zoho deactivation silently unpublish an indexed page,New column with its own default and editorial workflow,Test that toggling is_active does not change public route availability,YES,NO,B2,PLANNED,
